MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2005,CHEVROLET,K1500 SUBURBAN 4X4,SUV,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 SUBURBAN 4X4 FFV,SUV,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 SUBURBAN 4X4 FFV,SUV,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,K1500 SUBURBAN AWD,SUV,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 SUBURBAN AWD FFV,SUV,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 SUBURBAN AWD FFV,SUV,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,K1500 TAHOE 4X4,SUV,4.8,8,A4,X,17.0,13.0,15.2,19,350,,
2005,CHEVROLET,K1500 TAHOE 4X4,SUV,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
2005,CHEVROLET,K1500 TAHOE 4X4 FFV,SUV,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,K1500 TAHOE 4X4 FFV,SUV,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,K1500 TAHOE AWD,SUV,5.3,8,A4,X,18.8,15.3,17.2,16,396,,
